Epochs,Activation Function,Number of LSTM Units,Number of Hidden Layers,Dropout Rate,MSE,RMSE,MAE,R2
3800,relu,256,1,0.2,1.221519746,1.105223844,0.871057398,0.680165735
3900,relu,256,1,0.2,0.853835953,0.924032441,0.752958837,0.776437511
4000,relu,256,1,0.2,0.84172066,0.917453356,0.763514912,0.779609696
4100,relu,256,1,0.2,0.850334013,0.922135572,0.748237811,0.777354435
4200,relu,256,1,0.2,0.882825897,0.939588153,0.762386596,0.768846985
4300,relu,256,1,0.2,0.83369719,0.9130702,0.745511718,0.781710505
4400,relu,256,1,0.2,0.852014041,0.923046066,0.759177617,0.776914548
4500,relu,256,1,0.2,0.898925409,0.94811677,0.766760555,0.7646316
4600,relu,256,1,0.2,0.941704677,0.970414693,0.79273812,0.753430574
4700,relu,256,1,0.2,0.888403625,0.942551657,0.771190844,0.767386551
4800,relu,256,1,0.2,0.91874604,0.95851241,0.767048724,0.759441904
4900,relu,256,1,0.2,0.821388212,0.906304701,0.739022734,0.784933403
5000,relu,256,1,0.2,0.900626791,0.949013588,0.765200186,0.764186123
5500,relu,256,1,0.2,0.839963892,0.91649544,0.74532934,0.780069676
6000,relu,256,1,0.2,0.843369003,0.918351242,0.743518041,0.779178105
6500,relu,256,1,0.2,0.86605488,0.930620696,0.763065414,0.773238192
7000,relu,256,1,0.2,0.857362951,0.925938957,0.761411931,0.775514026
50,relu,32,2,0.2,0.853530717,0.923867261,0.747318232,0.776517432
100,relu,32,2,0.2,0.862662407,0.928796214,0.756460743,0.774126454
150,relu,32,2,0.2,0.795811925,0.892082914,0.722545292,0.791630121
200,relu,32,2,0.2,0.873178592,0.934440256,0.757807399,0.771372969
250,relu,32,2,0.2,0.886415837,0.941496594,0.762733353,0.76790702
300,relu,32,2,0.2,0.827382914,0.909605911,0.740142106,0.783363792
350,relu,32,2,0.2,0.906699276,0.952207581,0.766424444,0.762596145
400,relu,32,2,0.2,0.827526066,0.909684597,0.744673284,0.78332631
450,relu,32,2,0.2,0.903389673,0.950468134,0.773436897,0.763462709
500,relu,32,2,0.2,1.126204358,1.06122776,0.846323772,0.705122456
550,relu,32,2,0.2,0.886320372,0.941445894,0.767686145,0.767932016
600,relu,32,2,0.2,0.971504262,0.985649157,0.819574326,0.745628057
650,relu,32,2,0.2,0.878737772,0.937410141,0.74388452,0.769917391
700,relu,32,2,0.2,0.907493599,0.952624585,0.782526331,0.762388165
750,relu,32,2,0.2,0.853633688,0.923922988,0.748226204,0.776490471
800,relu,32,2,0.2,0.948500683,0.973909998,0.792598699,0.751651154
850,relu,32,2,0.2,0.854653676,0.924474811,0.739853405,0.776223404
900,relu,32,2,0.2,0.803451196,0.896354392,0.71647605,0.789629907
950,relu,32,2,0.2,0.874991591,0.935409852,0.760074062,0.770898266
1000,relu,32,2,0.2,0.7873027,0.887300794,0.728896907,0.793858117
1100,relu,32,2,0.2,0.792311268,0.890118682,0.708434382,0.792546708
1200,relu,32,2,0.2,0.903191013,0.950363622,0.749227271,0.763514724
1300,relu,32,2,0.2,0.90484917,0.951235602,0.755437612,0.763080564
1400,relu,32,2,0.2,0.933806556,0.966336668,0.777269524,0.755498563
1500,relu,32,2,0.2,0.87280926,0.934242613,0.772543699,0.771469672
1600,relu,32,2,0.2,0.955152529,0.977319052,0.78431528,0.749909481
1700,relu,32,2,0.2,0.870084445,0.932783171,0.752499942,0.772183119
1800,relu,32,2,0.2,0.858683722,0.926651888,0.748684769,0.775168205
1900,relu,32,2,0.2,0.922164642,0.960294039,0.772027555,0.758546801
2000,relu,32,2,0.2,0.840283155,0.9166696,0.72661472,0.779986082
2100,relu,32,2,0.2,0.91552787,0.956832206,0.762886387,0.760284527
2200,relu,32,2,0.2,0.829462387,0.910748257,0.728325245,0.782819317
2300,relu,32,2,0.2,1.048530571,1.023977818,0.809550397,0.725460022
2400,relu,32,2,0.2,0.938870054,0.968953071,0.796215795,0.754172772
